1	Beico & MT93, Beico, MT93 (IT)	Let There Be Dark - Original Mix	https://www.youtube.com/watch?v=5XKQ8xNqMp0
2	Patrik Berg, Matt Sassari	Discovery	https://www.youtube.com/watch?v=RlGtgmboX7o
3	Armin van Buuren	Blah Blah Blah	https://www.youtube.com/watch?v=mfJhMfOPWdE
4	ANNA	The Dansant	https://www.youtube.com/watch?v=Je81m4R1kqQ
5	Charlotte de Witte	The Healer	https://www.youtube.com/watch?v=0Te0Sq23-qA
6	Intara	Sky	https://www.youtube.com/watch?v=cKBIy0vM3Bg
7	Hush & Sleep	Mirth	https://www.youtube.com/watch?v=H78dFYpPxVE
8	T78, ROBPM	Acid Lick	https://www.youtube.com/watch?v=KBGR10ORjvs
9	N.O.B.A, Dorian Parano, NÜWA (BE)	Therapy - NÜWA (BE) Remix	https://www.youtube.com/watch?v=CYxi2ErC35M
10	Randomer	Bring	https://www.youtube.com/watch?v=UV1Yk4_WdiU
11	Mandragora	Sem Chão	ytsearch1:Mandragora - Sem Chão
12	Andrea Signore, Mha Iri	Omnia - Original Mix	https://www.youtube.com/watch?v=rD2geQQPEp8
13	Zimmz	Sinematic	https://www.youtube.com/watch?v=STpTefz32to
14	Dusty Kid	Sysma - Original Mix	https://www.youtube.com/watch?v=xbAwzsqBAfY
15	Pan-Pot, Stephan Bodzin	Sleepless - Stephan Bodzin Remix	https://www.youtube.com/watch?v=OlLC6Xwgikc
16	Hidden Empire	Hummus	https://www.youtube.com/watch?v=7er0VnNzaRs
17	Joyhauser	C166W	https://www.youtube.com/watch?v=exTXAcu76m8
18	Hilight Tribe, Vini Vici	Free Tibet - Vini Vici Remix	https://www.youtube.com/watch?v=0lBjcaMokvo
19	Armin van Buuren, Vini Vici, Hilight Tribe	Great Spirit - Extended Mix	https://www.youtube.com/watch?v=yo4pmauhugo
20	Joyhauser	Galaxy Phase - Original Mix	https://www.youtube.com/watch?v=lJlHBku70Eg
21	Enrico Sangiuliano	Hidden T	https://www.youtube.com/watch?v=aFGfa897wLs
22	AKKI (DE)	Lonely Spirit	https://www.youtube.com/watch?v=Xf7RBJYw_SQ
23	UMEK	Predator - Original Mix	https://www.youtube.com/watch?v=D9J4GLf6xlo
24	T78, Ballarak	The Antidote	https://www.youtube.com/watch?v=rLg4R4U1eVc
25	Dok & Martin, Carlos Pérez	Immortal	https://www.youtube.com/watch?v=1fix2b_zuCg
26	Charlotte de Witte	Sgadi Li Mi	https://www.youtube.com/watch?v=4qJdigju5UM
27	Mausio, Bibiane Z	Through the Night	https://www.youtube.com/watch?v=umBVhs1PwFk
28	Punktmidi	Nachtigall	ytsearch1:Punktmidi - Nachtigall
29	A*S*Y*S, T78	The Acid - T78 Remix	https://www.youtube.com/watch?v=6bHGnOgEeXA
30	Mark Dekoda, Droplex	Deepest Level	https://www.youtube.com/watch?v=utyw3qrIucM
31	Kaspar	Nova	https://www.youtube.com/watch?v=ZCLBvuG-FFQ
32	Space 92	Phobos	https://www.youtube.com/watch?v=2efAkfDhJ40
33	Belocca, A*S*Y*S	Under Pressure - Original Mix	https://www.youtube.com/watch?v=pZfByeyRQcI
34	Mark Reeve	Distance	https://www.youtube.com/watch?v=wJruJTXraGw
35	Cherrymoon Trax, Thomas Schumacher	The House of House - Thomas Schumacher Remix	https://www.youtube.com/watch?v=RmUJQyfwAWc
